MARCA,MODELO,ANO,KM,PRECO
Honda,HRV EX,2022,15000,80000.00
Renault,Sandero Stepway,2023,20000,60000.00
Toyota,Yaris XLS,2020,60000,80000.00
Ford,Focus SE 1.6,2024,0,100000.00
Volkswagen,Gol 1.0,2019,45000,45000.00
Chevrolet,Onix LT,2021,30000,55000.00
Fiat,Uno Vivace,2018,70000,35000.00
Hyundai,HB20,2022,12000,65000.00
Nissan,Kicks SL,2023,10000,85000.00
Jeep,Renegade Sport,2020,40000,75000.00
Peugeot,208 Allure,2019,38000,50000.00
Citroen,C3 Tendance,2021,25000,52000.00
Mitsubishi,ASX 2.0,2020,47000,72000.00
Subaru,Impreza,2018,65000,68000.00
Kia,Soul,2019,30000,60000.00
BMW,X1 20i,2023,15000,140000.00
Audi,A3 Sedan,2022,18000,130000.00
Mercedes,A200,2021,22000,135000.00
Volkswagen,Tiguan 1.4,2023,8000,150000.00
Honda,Civic EX,2020,55000,90000.00
Toyota,Corolla GLi,2019,60000,95000.00
Ford,Ka SE,2018,80000,40000.00
Renault,Duster,2022,16000,85000.00
Chevrolet,Cruze LTZ,2021,30000,95000.00
Fiat,Palio Fire,2017,90000,28000.00
Hyundai,Creta Pulse,2023,12000,110000.00
Nissan,Versa Advance,2020,42000,70000.00
Jeep,Compass Longitude,2022,15000,140000.00
Peugeot,3008 Griffe,2019,35000,125000.00
Citroen,C4 Lounge,2020,28000,95000.00
Mitsubishi,Lancer,2018,70000,60000.00
